Combine labels,coding,stopwords,stemming,uniform prior,model,accuracy,accuracy on top frequency DAS,frequency-weighted accuracy,weighted precision,weighted recall,weighted F1 score,file with predictions on test set,file with predictions
yes,1,yes,yes,yes,first classifier (Naive Bayes classifier),0.9210526315789473,
yes,1,yes,yes,yes,second classifier (TF-IDF Naive Bayes classifier),0.9342105263157895,0.9814814814814815,0.9342105263157895,0.9371556911602678,0.9342105263157895,0.9316710123111661,Classified_TFIDF_NB-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv,Classified_TFIDF_NB_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv
yes,1,yes,yes,yes,third classifier (SVM classifier),0.9473684210526315,0.9814814814814815,0.9473684210526315,0.9491228070175438,0.9473684210526315,0.9446770334928228,Classified_SVM-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv,Classified_SVM_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv
yes,1,yes,yes,yes,fourth classifier (word2vec),0.881578947368421,0.9444444444444444,0.881578947368421,0.8791517357222846,0.881578947368421,0.8777888116517708,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv
yes,1,yes,yes,yes,fifth classifier (word2vec with TF-IDF),0.9078947368421053,0.9814814814814815,0.9078947368421053,0.9055023923444976,0.9078947368421053,0.9060798548094373,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_yes-test_no.csv
yes,1,yes,yes,no,first classifier (Naive Bayes classifier),0.9210526315789473,
yes,1,yes,yes,no,second classifier (TF-IDF Naive Bayes classifier),0.868421052631579,0.9814814814814815,0.868421052631579,0.8196284829721361,0.868421052631579,0.8392634536964652,Classified_TFIDF_NB-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv,Classified_TFIDF_NB_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv
yes,1,yes,yes,no,third classifier (SVM classifier),0.9473684210526315,0.9814814814814815,0.9473684210526315,0.9491228070175438,0.9473684210526315,0.9446770334928228,Classified_SVM-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv,Classified_SVM_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv
yes,1,yes,yes,no,fourth classifier (word2vec),0.8947368421052632,0.9629629629629629,0.8947368421052632,0.8972995090016367,0.8947368421052632,0.8912524366471734,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv
yes,1,yes,yes,no,fifth classifier (word2vec with TF-IDF),0.9342105263157895,0.9629629629629629,0.9342105263157895,0.9355716878402903,0.9342105263157895,0.9340566328100954,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_yes-test_no.csv
yes,1,yes,no,yes,first classifier (Naive Bayes classifier),0.9210526315789473,
yes,1,yes,no,yes,second classifier (TF-IDF Naive Bayes classifier),0.9342105263157895,0.9814814814814815,0.9342105263157895,0.9371556911602678,0.9342105263157895,0.9316710123111661,Classified_TFIDF_NB-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv,Classified_TFIDF_NB_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv
yes,1,yes,no,yes,third classifier (SVM classifier),0.9605263157894737,0.9814814814814815,0.9605263157894737,0.9611244019138756,0.9605263157894737,0.9600221818915105,Classified_SVM-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv,Classified_SVM_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv
yes,1,yes,no,yes,fourth classifier (word2vec),0.9210526315789473,0.9629629629629629,0.9210526315789473,0.9257127192982457,0.9210526315789473,0.9190926033031296,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv
yes,1,yes,no,yes,fifth classifier (word2vec with TF-IDF),0.8947368421052632,0.9444444444444444,0.8947368421052632,0.8983040935672515,0.8947368421052632,0.894821476934188,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_yes-stemming_no-test_no.csv
yes,1,yes,no,no,first classifier (Naive Bayes classifier),0.9210526315789473,
yes,1,yes,no,no,second classifier (TF-IDF Naive Bayes classifier),0.868421052631579,0.9814814814814815,0.868421052631579,0.8196284829721361,0.868421052631579,0.8392634536964652,Classified_TFIDF_NB-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_TFIDF_NB_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
yes,1,yes,no,no,third classifier (SVM classifier),0.9605263157894737,0.9814814814814815,0.9605263157894737,0.9611244019138756,0.9605263157894737,0.9600221818915105,Classified_SVM-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_SVM_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
yes,1,yes,no,no,fourth classifier (word2vec),0.9078947368421053,0.9629629629629629,0.9078947368421053,0.9118873951182305,0.9078947368421053,0.9051871760850088,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
yes,1,yes,no,no,fifth classifier (word2vec with TF-IDF),0.9078947368421053,0.9629629629629629,0.9078947368421053,0.9111535394430129,0.9078947368421053,0.9086051073346899,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
yes,1,no,yes,yes,first classifier (Naive Bayes classifier),0.9210526315789473,
